"wid","iv","sbid1","iss","date"
"053250",0.533924102783203,70.9,"國票","20200305"
"052953",0.555728912353516,70.9,"國票","20200305"
"706756",0.703327178955078,70.4,"元富","20200305"
"706757",0.736248016357422,70.4,"元富","20200305"
"706880",0.700260162353516,70.4,"元大","20200305"
"053792",0.551738739013672,70.9,"元大","20200305"
"706756",0.703327178955078,70.4,"元富","20200305"
"706757",0.736248016357422,70.4,"元富","20200305"
"050463",0.616474151611328,70.9,"元大","20200305"
"058148",0.612178802490234,70.9,"元大","20200305"
"058251",0.539951324462891,70.9,"元大","20200305"
"706756",0.703327178955078,70.4,"元富","20200305"
"706757",0.736248016357422,70.4,"元富","20200305"
"058148",0.609752655029297,71,"元大","20200305"
"050253",0.565944671630859,70.9,"國泰","20200305"
"050253",0.571681976318359,70.9,"國泰","20200305"
"706745",0.698139190673828,70.4,"凱基","20200305"
"708663",0.633556365966797,70.4,"凱基","20200305"
"708073",0.634502410888672,70.6,"群益","20200305"
"708663",0.637020111083984,70.6,"凱基","20200305"
"706745",0.696681976318359,70.6,"凱基","20200305"
"707812",0.696735382080078,70.6,"元富","20200305"
"708297",0.599025726318359,70.6,"國票","20200305"
"708297",0.599025726318359,70.6,"國票","20200305"
"708297",0.601093292236328,70.5,"國票","20200305"
"708297",0.601093292236328,70.5,"國票","20200305"
"708297",0.599025726318359,70.6,"國票","20200305"
"708297",0.599025726318359,70.6,"國票","20200305"
"708297",0.599025726318359,70.6,"國票","20200305"
"708297",0.599025726318359,70.6,"國票","20200305"
"708297",0.599025726318359,70.6,"國票","20200305"
"708297",0.599025726318359,70.6,"國票","20200305"
"708297",0.599025726318359,70.6,"國票","20200305"
"708297",0.601093292236328,70.5,"國票","20200305"
"708297",0.599025726318359,70.6,"國票","20200305"
"708297",0.599025726318359,70.6,"國票","20200305"
"708297",0.599025726318359,70.6,"國票","20200305"
"708297",0.601093292236328,70.5,"國票","20200305"
"708297",0.599025726318359,70.6,"國票","20200305"
"708297",0.599025726318359,70.6,"國票","20200305"
"708297",0.599025726318359,70.6,"國票","20200305"
"708297",0.601490020751953,70.3,"國票","20200305"
"708297",0.601490020751953,70.3,"國票","20200305"
"708297",0.605236053466797,70.3,"國票","20200305"
"708297",0.605236053466797,70.3,"國票","20200305"
"708297",0.605236053466797,70.3,"國票","20200305"
"708297",0.605236053466797,70.3,"國票","20200305"
"708297",0.601093292236328,70.5,"國票","20200305"
"708297",0.599025726318359,70.6,"國票","20200305"
"708297",0.601093292236328,70.5,"國票","20200305"
"708297",0.601093292236328,70.5,"國票","20200305"
"708297",0.599025726318359,70.6,"國票","20200305"
"708297",0.599025726318359,70.6,"國票","20200305"
"708297",0.601093292236328,70.5,"國票","20200305"
"708297",0.601093292236328,70.5,"國票","20200305"
"708297",0.601093292236328,70.5,"國票","20200305"
"708297",0.601093292236328,70.5,"國票","20200305"
"708297",0.601093292236328,70.5,"國票","20200305"
"708297",0.599025726318359,70.6,"國票","20200305"
"708297",0.599025726318359,70.6,"國票","20200305"
"708297",0.599025726318359,70.6,"國票","20200305"
